2015-09-29 10:32:13,302 [6] INFO  Umbraco.Core.CoreBootManager - [P51856/T1/D2] Umbraco 7.2.8 application starting on SIMON-PC
2015-09-29 10:32:13,365 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Determining hash of code files on disk
2015-09-29 10:32:13,378 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Hash determined (took 12ms)
2015-09-29 10:32:13,391 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-09-29 10:32:13,774 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 382ms)
2015-09-29 10:32:13,840 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-09-29 10:32:13,847 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
2015-09-29 10:32:13,848 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-09-29 10:32:13,856 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 8ms)
2015-09-29 10:32:13,871 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-09-29 10:32:13,878 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 5 (took 7ms)
2015-09-29 10:32:13,879 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-09-29 10:32:13,886 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 6ms)
2015-09-29 10:32:13,931 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-09-29 10:32:13,938 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 6ms)
2015-09-29 10:32:13,939 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-09-29 10:32:13,945 [6] INFO  Umbraco.Core.PluginManager - [P51856/T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2015-09-29 10:32:14,709 [6] INFO  Umbraco.Core.DatabaseContext - [P51856/T1/D2] CanConnect = True
2015-09-29 10:32:14,714 [6] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P51856/T1/D2] Initializing Umbraco internal event handlers for cache refreshing
2015-09-29 10:32:14,729 [6] INFO  Umbraco.Web.Search.ExamineEvents - [P51856/T1/D2] Initializing Examine and binding to business logic events
2015-09-29 10:32:14,776 [6] INFO  Umbraco.Web.Search.ExamineEvents - [P51856/T1/D2] Adding examine event handlers for index providers: 3
2015-09-29 10:32:14,784 [6] INFO  Umbraco.Core.CoreBootManager - [P51856/T1/D2] Umbraco application startup complete (took 1455ms)
